Index,W1G0,Currency,EUR
Date,TRR % 1-week EUR U, ,
28/01/2022,0.889,,
04/02/2022,-2.406,,
11/02/2022,0.04,,
18/02/2022,0.694,,
25/02/2022,0.568,,
04/03/2022,3.001,,
11/03/2022,-1.16,,
18/03/2022,-1.227,,
25/03/2022,-0.34,,
01/04/2022,-0.677,,
08/04/2022,0.943,,
14/04/2022,0.681,,
22/04/2022,-0.793,,
29/04/2022,1.721,,
06/05/2022,-0.506,,
13/05/2022,1.932,,
20/05/2022,-1.03,,
27/05/2022,-0.908,,
03/06/2022,-0.887,,
10/06/2022,0.506,,
17/06/2022,0.135,,
24/06/2022,-0.382,,
01/07/2022,1.575,,
08/07/2022,1.508,,
15/07/2022,0.46,,
22/07/2022,-0.63,,
29/07/2022,0.901,,
