Index,EGB0,Currency,EUR
Date,TRR % 1-week EUR U, ,
23/12/2021,-0.016,,
31/12/2021,-0.016,,
07/01/2022,-0.033,,
14/01/2022,-0.018,,
21/01/2022,-0.008,,
28/01/2022,-0.011,,
04/02/2022,-0.042,,
11/02/2022,0.002,,
18/02/2022,-0.012,,
25/02/2022,-0.002,,
04/03/2022,0.009,,
11/03/2022,-0.02,,
18/03/2022,-0.014,,
25/03/2022,-0.016,,
01/04/2022,-0.032,,
08/04/2022,-0.02,,
14/04/2022,-0.015,,
22/04/2022,-0.018,,
29/04/2022,-0.02,,
06/05/2022,-0.035,,
13/05/2022,-0.013,,
20/05/2022,-0.034,,
27/05/2022,-0.004,,
03/06/2022,-0.025,,
10/06/2022,-0.043,,
17/06/2022,-0.098,,
24/06/2022,0.027,,
01/07/2022,0.022,,
08/07/2022,-0.003,,
15/07/2022,-0.028,,
22/07/2022,-0.03,,
29/07/2022,0.008,,
